epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2419.54,0.92805,0.90021,1.18161,0.67111,0.70466,0.69593,0.54963,1.24245,1.32305,1.40683,0.0003466,0.0003466,0.0003466
68,2454.88,0.93901,0.91062,1.18685,0.70809,0.67949,0.69481,0.54752,1.27837,1.34303,1.43776,0.0003367,0.0003367,0.0003367
69,2490.59,0.93808,0.91055,1.18001,0.70743,0.68572,0.68699,0.54699,1.26631,1.34666,1.42872,0.0003268,0.0003268,0.0003268
70,2526.02,0.92851,0.89787,1.17948,0.73768,0.67222,0.68734,0.54086,1.27834,1.35743,1.43677,0.0003169,0.0003169,0.0003169
71,2561.51,0.91222,0.89081,1.17202,0.71612,0.7024,0.70476,0.54993,1.26257,1.33576,1.42754,0.000307,0.000307,0.000307
72,2597.03,0.91568,0.87382,1.1663,0.68856,0.7127,0.70278,0.5521,1.27163,1.31002,1.42793,0.0002971,0.0002971,0.0002971
73,2632.2,0.91504,0.87072,1.17083,0.73145,0.6625,0.69692,0.54515,1.28382,1.32671,1.43891,0.0002872,0.0002872,0.0002872
74,2667.45,0.90023,0.84326,1.1551,0.75408,0.68002,0.71071,0.55797,1.28339,1.30984,1.44338,0.0002773,0.0002773,0.0002773
75,2702.85,0.90718,0.86613,1.1674,0.73473,0.67171,0.69895,0.55316,1.27137,1.33249,1.43324,0.0002674,0.0002674,0.0002674
76,2738.24,0.89133,0.84602,1.15502,0.73847,0.67051,0.70003,0.55719,1.26416,1.31083,1.43608,0.0002575,0.0002575,0.0002575
77,2773.74,0.89483,0.84005,1.15023,0.75419,0.66769,0.70089,0.55504,1.2706,1.32776,1.42852,0.0002476,0.0002476,0.0002476
78,2809.19,0.89714,0.83123,1.1488,0.72098,0.69323,0.70138,0.55583,1.26262,1.33097,1.43486,0.0002377,0.0002377,0.0002377
