epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4341.86,0.9666,1.00685,1.32911,0.73179,0.6597,0.70222,0.52743,1.34275,1.43995,1.68461,0.0004555,0.0004555,0.0004555
57,4418.33,0.9753,1.01372,1.34264,0.72688,0.65915,0.6826,0.51328,1.37679,1.53056,1.71016,0.0004456,0.0004456,0.0004456
58,4495.06,0.956,0.98794,1.32104,0.74991,0.67393,0.71411,0.52758,1.35148,1.46646,1.68686,0.0004357,0.0004357,0.0004357
59,4571.63,0.94519,0.96714,1.31639,0.73818,0.66338,0.71127,0.53515,1.34247,1.48484,1.69535,0.0004258,0.0004258,0.0004258
60,4648.19,0.95186,0.96056,1.31325,0.73931,0.67992,0.70898,0.52827,1.34419,1.48678,1.69576,0.0004159,0.0004159,0.0004159
61,4724.84,0.92801,0.93317,1.29988,0.7588,0.66609,0.71055,0.5309,1.35544,1.46549,1.68971,0.000406,0.000406,0.000406
62,4801.75,0.93641,0.94917,1.30856,0.75783,0.67339,0.70896,0.53311,1.36275,1.46106,1.70621,0.0003961,0.0003961,0.0003961
63,4878.93,0.92731,0.92,1.29332,0.72041,0.7056,0.72173,0.54117,1.32733,1.41779,1.66414,0.0003862,0.0003862,0.0003862
64,4956.1,0.92274,0.9069,1.28671,0.75686,0.69146,0.71803,0.54216,1.32474,1.42071,1.67376,0.0003763,0.0003763,0.0003763
65,5033.72,0.91476,0.90882,1.28696,0.73403,0.66792,0.70446,0.53083,1.3499,1.46088,1.68997,0.0003664,0.0003664,0.0003664
66,5111.4,0.91163,0.90975,1.28401,0.721,0.67134,0.69575,0.53013,1.3426,1.48121,1.70461,0.0003565,0.0003565,0.0003565
67,5188.31,0.90454,0.89019,1.27468,0.74825,0.67893,0.71308,0.53823,1.34405,1.43876,1.68733,0.0003466,0.0003466,0.0003466
68,5265.7,0.90747,0.89724,1.28648,0.75318,0.6712,0.70117,0.52927,1.34974,1.41779,1.69279,0.0003367,0.0003367,0.0003367
69,5343.06,0.91493,0.88403,1.28506,0.72565,0.69982,0.71935,0.54422,1.33916,1.41254,1.68846,0.0003268,0.0003268,0.0003268
70,5420.15,0.89644,0.87218,1.26864,0.74952,0.69421,0.71477,0.5411,1.33034,1.40915,1.6647,0.0003169,0.0003169,0.0003169
71,5497.06,0.89018,0.85927,1.26395,0.76067,0.69769,0.72778,0.54845,1.33758,1.41875,1.67864,0.000307,0.000307,0.000307
72,5574.31,0.88361,0.83973,1.25605,0.781,0.66726,0.71743,0.54217,1.33928,1.42446,1.67977,0.0002971,0.0002971,0.0002971
73,5651.36,0.87699,0.83209,1.25578,0.7745,0.69051,0.72502,0.54935,1.34739,1.39438,1.68522,0.0002872,0.0002872,0.0002872
